"","series","year","cong_session","start_date","end_date","middle_date","president","pres_lastname","pres_party","tot_series","tot_series_rep","per_rep_approval","per_rep_approval_w","avg_rep_approval","avg_rep_approval_w","tot_series_dem","per_dem_approval","per_dem_approval_w","avg_dem_approval","avg_dem_approval_w","tot_series_ind","per_ind_approval","per_ind_approval_w","avg_ind_approval","avg_ind_approval_w","avg_inparty_approval","avg_inparty_approval_w","avg_outparty_approval","avg_outparty_approval_w","per_inparty_approval","per_inparty_approval_w","per_outparty_approval_w","avg_approval_diff","avg_approval_diff_w","per_approval_diff","per_approval_diff_w","crisno_during","during_crisis","num_crisis","crisname_during","crisis_closest_pre","crisis_closest_post_start","crisis_closest_post_end","session_startyr","session_endyr","rep_pres","majority_senate","majority_house","divided_leg","divided_gov","pres_support_house","pres_support_senate","nominate_president","nominate_house_median","nominate_senate_median","bicameral_distance","pres_house_distance","pres_senate_distance","nominate_house_dem","nominate_house_rep","polarization_house","nominate_senate_dem","nominate_senate_rep","polarization_senate","polarization_house_lag","polarization_senate_lag","polarization_avg","polarization_avg_lag","election_no","pres_election_date","election_year","perchange_dispinc","unemployment_rate","mid_closest_pre","during_mid","eisenhower","kennedy","johnson","nixon","ford","carter","reagan","bush1","clinton","bush2","obama"
"12","1953-0523",1953,83,-2234,-2229,1953-11-21,"Dwight D. Eisenhower","Eisenhower","R",1519,449,0.835189309576837,0.835189309576837,0.78173719376392,0.78173719376392,701,0.412268188302425,0.412268188302425,0.0128388017118402,0.0128388017118402,369,0.609756097560976,0.609756097560976,0.420054200542005,0.420054200542005,0.78173719376392,0.78173719376392,0.0128388017118402,0.0128388017118402,0.835189309576837,0.835189309576837,0.412268188302425,0.76889839205208,0.76889839205208,0.422921121274412,0.422921121274412,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.3,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0
"13","1953-0524",1953,83,-2212,-2207,1953-12-13,"Dwight D. Eisenhower","Eisenhower","R",1482,487,0.903490759753593,0.904933532772613,0.84394250513347,0.845425431978042,645,0.533333333333333,0.532973702748617,0.201550387596899,0.201414480689884,350,0.631428571428571,0.631002794504166,0.425714285714286,0.425427223443985,0.84394250513347,0.845425431978042,0.201550387596899,0.201414480689884,0.903490759753593,0.904933532772613,0.532973702748617,0.642392117536571,0.644010951288158,0.370517057004977,0.371959830023996,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,65,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,-1.3,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0
"14","1954-0525",1954,83,-2183,-2178,1954-01-11,"Dwight D. Eisenhower","Eisenhower","R",1566,466,0.914163090128755,0.913579683191275,0.879828326180258,0.879266831240429,666,0.551051051051051,0.55069937747162,0.22972972972973,0.229583119218414,434,0.716589861751152,0.716132543466058,0.580645161290323,0.580274601136484,0.879828326180258,0.879266831240429,0.22972972972973,0.229583119218414,0.914163090128755,0.913579683191275,0.55069937747162,0.650098596450528,0.649683712022015,0.363463712657135,0.362880305719655,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,2,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","1954-0526",1954,83,-2164,-2159,1954-01-30,"Dwight D. Eisenhower","Eisenhower","R",1493,478,0.893305439330544,0.893305439330544,0.853556485355649,0.853556485355649,655,0.532824427480916,0.532824427480916,0.23969465648855,0.23969465648855,360,0.736111111111111,0.736111111111111,0.597222222222222,0.597222222222222,0.853556485355649,0.853556485355649,0.23969465648855,0.23969465648855,0.893305439330544,0.893305439330544,0.532824427480916,0.613861828867099,0.613861828867099,0.360481011849628,0.360481011849628,NA,0,0,NA,1,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,2,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0
"16","1954-0527",1954,83,-2136,-2131,1954-02-27,"Dwight D. Eisenhower","Eisenhower","R",1511,438,0.878995433789954,0.878995433789954,0.824200913242009,0.824200913242009,693,0.507936507936508,0.507936507936508,0.158730158730159,0.158730158730159,380,0.676315789473684,0.676315789473684,0.536842105263158,0.536842105263158,0.824200913242009,0.824200913242009,0.158730158730159,0.158730158730159,0.878995433789954,0.878995433789954,0.507936507936508,0.66547075451185,0.66547075451185,0.371058925853446,0.371058925853446,144,1,1,"GUATEMALA",1,1,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,2,4.9,0,0,1,0,0,0,0,0,0,0,0,0,0
"17","1954-0528",1954,83,-2114,-2109,1954-03-21,"Dwight D. Eisenhower","Eisenhower","R",1561,472,0.86864406779661,0.868087950146804,0.807203389830508,0.806686607331543,670,0.471641791044776,0.472831421378833,0.113432835820896,0.114851796360158,419,0.675417661097852,0.674985249600149,0.494033412887828,0.493717126032618,0.807203389830508,0.806686607331543,0.113432835820896,0.114851796360158,0.86864406779661,0.868087950146804,0.472831421378833,0.693770554009613,0.691834810971384,0.395812646417777,0.395256528767971,145,1,2,"DIEN BIEN PHU",0,1,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,2,5.2,0,0,1,0,0,0,0,0,0,0,0,0,0
"18","1954-0529",1954,83,-2094,-2089,1954-04-10,"Dwight D. Eisenhower","Eisenhower","R",1482,476,0.909663865546218,0.909663865546218,0.865546218487395,0.865546218487395,638,0.492163009404389,0.492163009404389,0.119122257053292,0.119122257053292,368,0.709239130434783,0.709239130434783,0.557065217391304,0.557065217391304,0.865546218487395,0.865546218487395,0.119122257053292,0.119122257053292,0.909663865546218,0.909663865546218,0.492163009404389,0.746423961434104,0.746423961434104,0.41750085614183,0.41750085614183,144,1,1,"GUATEMALA",0,0,1,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,0.4,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0
"19","1954-0530",1954,83,-2070,-2065,1954-05-04,"Dwight D. Eisenhower","Eisenhower","R",1414,425,0.851764705882353,0.853514014552621,0.788235294117647,0.790029501073501,620,0.412903225806452,0.412611413771106,0.0612903225806452,0.0612470067316486,369,0.623306233062331,0.6228657224314,0.447154471544715,0.446838453048613,0.788235294117647,0.790029501073501,0.0612903225806452,0.0612470067316486,0.851764705882353,0.853514014552621,0.412611413771106,0.726944971537002,0.728782494341852,0.439153292111247,0.440902600781515,144,1,1,"GUATEMALA",0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,0.4,5.9,0,0,1,0,0,0,0,0,0,0,0,0,0
"20","1954-0531",1954,83,-2051,-2046,1954-05-23,"Dwight D. Eisenhower","Eisenhower","R",1416,480,0.833333333333333,0.833333333333333,0.747916666666667,0.747916666666667,604,0.451986754966887,0.451986754966887,0.0745033112582782,0.0745033112582782,332,0.590361445783133,0.590361445783133,0.403614457831325,0.403614457831325,0.747916666666667,0.747916666666667,0.0745033112582782,0.0745033112582782,0.833333333333333,0.833333333333333,0.451986754966887,0.673413355408389,0.673413355408389,0.381346578366446,0.381346578366446,144,1,1,"GUATEMALA",0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,0.4,5.9,0,0,1,0,0,0,0,0,0,0,0,0,0
"21","1954-0532",1954,83,-2029,-2024,1954-06-14,"Dwight D. Eisenhower","Eisenhower","R",1435,457,0.811816192560175,0.811816192560175,0.728665207877462,0.728665207877462,650,0.456923076923077,0.456923076923077,0.0738461538461539,0.0738461538461539,328,0.667682926829268,0.667682926829268,0.496951219512195,0.496951219512195,0.728665207877462,0.728665207877462,0.0738461538461539,0.0738461538461539,0.811816192560175,0.811816192560175,0.456923076923077,0.654819054031308,0.654819054031308,0.354893115637098,0.354893115637098,144,1,1,"GUATEMALA",0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,0.4,5.9,0,0,1,0,0,0,0,0,0,0,0,0,0
"22","1954-0533",1954,83,-2009,-2004,1954-07-04,"Dwight D. Eisenhower","Eisenhower","R",1588,500,0.84,0.84,0.748,0.748,703,0.512091038406828,0.512091038406828,0.207681365576102,0.207681365576102,385,0.633766233766234,0.633766233766234,0.446753246753247,0.446753246753247,0.748,0.748,0.207681365576102,0.207681365576102,0.84,0.84,0.512091038406828,0.540318634423898,0.540318634423898,0.327908961593172,0.327908961593172,NA,0,0,NA,0,0,1,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.3,5.6,0,0,1,0,0,0,0,0,0,0,0,0,0
"23","1954-0534",1954,83,-1995,-1990,1954-07-18,"Dwight D. Eisenhower","Eisenhower","R",1530,488,0.918032786885246,0.918032786885246,0.866803278688525,0.866803278688525,733,0.605729877216917,0.605729877216917,0.287858117326057,0.287858117326057,309,0.783171521035599,0.783171521035599,0.627831715210356,0.627831715210356,0.866803278688525,0.866803278688525,0.287858117326057,0.287858117326057,0.918032786885246,0.918032786885246,0.605729877216917,0.578945161362467,0.578945161362467,0.312302909668329,0.312302909668329,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.3,5.6,0,0,1,0,0,0,0,0,0,0,0,0,0
"24","1954-0535",1954,83,-1975,-1970,1954-08-07,"Dwight D. Eisenhower","Eisenhower","R",1582,483,0.902691511387164,0.898408114786721,0.867494824016563,0.864163859290366,754,0.511936339522546,0.507115800753829,0.194960212201592,0.193555649142683,345,0.689855072463768,0.693748328996741,0.565217391304348,0.566843146863191,0.867494824016563,0.864163859290366,0.194960212201592,0.193555649142683,0.902691511387164,0.898408114786721,0.507115800753829,0.672534611814972,0.670608210147683,0.395575710633335,0.391292314032892,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.3,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0
"25","1954-0536",1954,83,-1954,-1949,1954-08-28,"Dwight D. Eisenhower","Eisenhower","R",1562,485,0.85360824742268,0.85360824742268,0.791752577319588,0.791752577319588,713,0.454417952314165,0.454417952314165,0.0841514726507714,0.0841514726507714,364,0.626373626373626,0.626373626373626,0.453296703296703,0.453296703296703,0.791752577319588,0.791752577319588,0.0841514726507714,0.0841514726507714,0.85360824742268,0.85360824742268,0.454417952314165,0.707601104668816,0.707601104668816,0.399190295108515,0.399190295108515,NA,0,0,NA,1,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.3,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0
"26","1954-0537",1954,83,-1933,-1928,1954-09-18,"Dwight D. Eisenhower","Eisenhower","R",1465,476,0.894957983193277,0.89434751843204,0.848739495798319,0.848160557386254,680,0.476470588235294,0.47614558023565,0.125,0.124914735555649,309,0.692556634304207,0.695318269112349,0.533980582524272,0.536850384523953,0.848739495798319,0.848160557386254,0.125,0.124914735555649,0.894957983193277,0.89434751843204,0.47614558023565,0.723739495798319,0.723245821830605,0.418812402957628,0.418201938196391,NA,0,0,NA,0,1,1,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,4.3,6,0,0,1,0,0,0,0,0,0,0,0,0,0
"27","1954-0538",1954,83,-1904,-1899,1954-10-17,"Dwight D. Eisenhower","Eisenhower","R",1530,410,0.878048780487805,0.877475284948582,0.819512195121951,0.818976932618676,794,0.448362720403023,0.449328496564245,0.0554156171284635,0.0566380457854091,326,0.684049079754601,0.683602294673218,0.52760736196319,0.527262756429567,0.819512195121951,0.818976932618676,0.0554156171284635,0.0566380457854091,0.878048780487805,0.877475284948582,0.449328496564245,0.764096577993488,0.762338886833267,0.42872028392356,0.428146788384336,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,7.9,6.1,0,0,1,0,0,0,0,0,0,0,0,0,0
"28","1954-0539",1954,83,-1877,-1872,1954-11-13,"Dwight D. Eisenhower","Eisenhower","R",1458,399,0.844611528822055,0.844032637308116,0.799498746867168,0.798950775374745,695,0.411510791366906,0.411228744417643,0.0431654676258993,0.043135882281571,364,0.571428571428571,0.573782287619926,0.392857142857143,0.395333250800332,0.799498746867168,0.798950775374745,0.0431654676258993,0.043135882281571,0.844611528822055,0.844032637308116,0.411228744417643,0.756333279241269,0.755814893093174,0.433382784404412,0.432803892890473,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,7.9,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0
"29","1954-0540",1954,83,-1856,-1851,1954-12-04,"Dwight D. Eisenhower","Eisenhower","R",1480,481,0.887733887733888,0.887134488555845,0.825363825363825,0.824806538540212,634,0.534700315457413,0.534339285047272,0.175078864353312,0.173384428776401,365,0.66027397260274,0.65982815468148,0.43013698630137,0.429846557199139,0.825363825363825,0.824806538540212,0.175078864353312,0.173384428776401,0.887733887733888,0.887134488555845,0.534339285047272,0.650284961010513,0.651422109763811,0.353394602686615,0.352795203508572,NA,0,0,NA,0,0,0,1953,1955,1,"R","D",1,0,62.6,NA,0.281,0.06,0.061,0.001,0.221,0.22,-0.17399999499321,0.234499998390675,0.408499993383884,-0.111999999731779,0.223999999463558,0.335999999195337,NA,NA,0.372249996289611,NA,NA,NA,0,7.9,5.3,0,0,1,0,0,0,0,0,0,0,0,0,0
"30","1955-0541",1955,84,-1827,-1822,1955-01-02,"Dwight D. Eisenhower","Eisenhower","R",1444,443,0.853273137697517,0.852092953621668,0.787810383747178,0.78672074289408,634,0.570977917981073,0.570188183701753,0.291798107255521,0.289819408290394,367,0.722070844686649,0.723793156790149,0.588555858310627,0.590462838434069,0.787810383747178,0.78672074289408,0.291798107255521,0.289819408290394,0.853273137697517,0.852092953621668,0.570188183701753,0.496012276491658,0.496901334603686,0.283084953995764,0.281904769919916,NA,0,0,NA,0,0,0,1955,1957,1,"D","D",0,1,57.2,73.4,0.281,0.0075,0.024,0.0165,0.2735,0.257,-0.226499997079372,0.225999996066093,0.452499993145466,-0.168999999761581,0.244999997317791,0.413999997079372,0.408499993383884,0.335999999195337,0.433249995112419,0.372249996289611,NA,NA,0,6.6,5,0,0,1,0,0,0,0,0,0,0,0,0,0
